epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.4988,0.70344,1,1,0.47884,5.001e-05,5.001e-05,5.001e-05
2,30.048,0.6114,1,1,0.41826,0.00011438,0.00011438,0.00011438
3,31.5025,0.38699,1,1,0.36128,0.000176109,0.000176109,0.000176109
4,32.9077,0.19492,1,1,0.30393,0.000235197,0.000235197,0.000235197
5,34.1355,0.11779,1,1,0.278,0.000291645,0.000291645,0.000291645
6,35.4497,0.07087,1,1,0.24857,0.000345452,0.000345452,0.000345452
7,36.7608,0.03505,1,1,0.22152,0.000396619,0.000396619,0.000396619
8,38.0519,0.02864,1,1,0.19793,0.000445146,0.000445146,0.000445146
9,39.279,0.01329,1,1,0.18607,0.000491032,0.000491032,0.000491032
10,40.5848,0.0107,1,1,0.16472,0.000534277,0.000534277,0.000534277
11,42.0724,0.00483,1,1,0.1598,0.000574882,0.000574882,0.000574882
12,43.3796,0.00344,1,1,0.13398,0.000612846,0.000612846,0.000612846
13,44.51,0.00276,1,1,0.12421,0.00064817,0.00064817,0.00064817
14,45.6729,0.00186,1,1,0.1202,0.000680853,0.000680853,0.000680853
15,47.0754,0.00934,1,1,0.11065,0.000710895,0.000710895,0.000710895
16,48.2295,0.00117,1,1,0.10413,0.000738298,0.000738298,0.000738298
17,49.3986,0.00073,1,1,0.10488,0.000763059,0.000763059,0.000763059
18,50.6629,0.00244,1,1,0.08905,0.00078518,0.00078518,0.00078518
19,51.8592,0.00244,1,1,0.08389,0.000804661,0.000804661,0.000804661
20,53.0441,0.0023,1,1,0.10521,0.000821501,0.000821501,0.000821501
21,54.2699,0.01242,1,1,0.07501,0.0008357,0.0008357,0.0008357
22,55.4826,0.0034,1,1,0.07233,0.000847259,0.000847259,0.000847259
23,56.8001,0.00146,1,1,0.0728,0.000856178,0.000856178,0.000856178
24,57.939,0.00104,1,1,0.0737,0.000862456,0.000862456,0.000862456
25,59.0627,0.00053,1,1,0.07735,0.000866093,0.000866093,0.000866093
26,60.2279,0.00245,1,1,0.07875,0.000841835,0.000841835,0.000841835
27,61.4629,0.00097,1,1,0.07629,0.000808828,0.000808828,0.000808828
28,62.6191,0.00036,1,1,0.07628,0.000775822,0.000775822,0.000775822
29,63.7564,0.00163,1,1,0.07425,0.000742815,0.000742815,0.000742815
30,64.8595,0.00016,1,1,0.07579,0.000709809,0.000709809,0.000709809
31,65.9372,0.00054,1,1,0.07714,0.000676802,0.000676802,0.000676802
32,67.0053,0.00386,1,1,0.07661,0.000643795,0.000643795,0.000643795
33,68.0917,0.00014,1,1,0.08069,0.000610789,0.000610789,0.000610789
34,69.3121,0.00025,1,1,0.07474,0.000577782,0.000577782,0.000577782
35,70.5306,0.00033,1,1,0.07746,0.000544776,0.000544776,0.000544776
36,71.7855,0.00013,1,1,0.07473,0.000511769,0.000511769,0.000511769
37,72.917,0.00017,1,1,0.07806,0.000478762,0.000478762,0.000478762
38,74.2096,0.00279,1,1,0.07036,0.000445756,0.000445756,0.000445756
39,75.4195,0.00121,1,1,0.06833,0.000412749,0.000412749,0.000412749
40,76.5705,7e-05,1,1,0.07282,0.000379743,0.000379743,0.000379743
