epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,218.777,0.45596,0.74422,1,0.57857,0.000555293,0.000555293,0.000555293
2,409.727,0.34399,0.75908,1,0.55395,0.00105597,0.00105597,0.00105597
3,585.406,0.32159,0.73284,1,0.78322,0.00150163,0.00150163,0.00150163
4,767.106,0.30014,0.75,1,0.60154,0.00141945,0.00141945,0.00141945
5,937.524,0.25023,0.75066,1,0.60804,0.00133693,0.00133693,0.00133693
6,1144.05,0.22462,0.72822,1,0.66332,0.00125442,0.00125442,0.00125442
7,1321.02,0.20059,0.76238,1,0.62361,0.0011719,0.0011719,0.0011719
8,1497.93,0.17901,0.76881,1,0.70391,0.00108938,0.00108938,0.00108938
9,1671.35,0.16472,0.72987,1,0.88637,0.00100687,0.00100687,0.00100687
10,1848.54,0.15216,0.75066,1,0.71904,0.000924352,0.000924352,0.000924352
11,2116.04,0.13782,0.7604,1,0.77769,0.000841835,0.000841835,0.000841835
12,2341.79,0.1299,0.76089,1,0.73313,0.000759318,0.000759318,0.000759318
13,2548.36,0.11741,0.74703,1,0.9401,0.000676802,0.000676802,0.000676802
14,2743.25,0.10268,0.75347,1,0.88493,0.000594286,0.000594286,0.000594286
15,2932.46,0.09845,0.75693,1,0.91558,0.000511769,0.000511769,0.000511769
16,3116.77,0.09251,0.76353,1,0.87773,0.000429253,0.000429253,0.000429253
17,3310.21,0.0836,0.77079,1,0.82166,0.000346736,0.000346736,0.000346736
18,3505.09,0.07322,0.78135,1,0.84397,0.00026422,0.00026422,0.00026422
19,3686.91,0.06957,0.77228,1,0.86503,0.000181703,0.000181703,0.000181703
20,3881.02,0.06153,0.77525,1,0.85591,9.91865e-05,9.91865e-05,9.91865e-05
