epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6991,1.45859,1.84643,1.66222,0.95926,0.43363,0.46292,0.25318,1.52046,1.65402,1.66616,0.00055164,0.00055164,0.00055164
2,95.6307,1.38564,1.28991,1.54771,0.94277,0.46288,0.97622,0.52052,1.32067,1.33762,1.44404,0.000997683,0.000997683,0.000997683
3,128.419,1.32816,1.10306,1.48325,0.7254,0.47863,0.95781,0.44665,1.71427,1.11969,1.71641,0.0013337,0.0013337,0.0013337
4,167.118,1.25492,0.91339,1.44059,0.96705,0.94164,0.97001,0.48586,1.36997,0.84708,1.40103,0.0011719,0.0011719,0.0011719
5,206.569,1.15982,0.77428,1.36104,0.60976,0.91622,0.97994,0.53887,1.22931,0.76449,1.35403,0.00100687,0.00100687,0.00100687
6,249.098,1.07514,0.68027,1.29779,0.72544,0.96154,0.97614,0.54216,1.09386,0.65616,1.26086,0.000841835,0.000841835,0.000841835
7,290.685,1.02581,0.61613,1.26982,0.72608,0.95514,0.97633,0.50073,1.1167,0.56317,1.28083,0.000676802,0.000676802,0.000676802
8,330.136,0.9683,0.5543,1.24077,0.72394,0.95452,0.85767,0.50768,1.02257,0.54228,1.18852,0.000511769,0.000511769,0.000511769
9,362.347,0.89487,0.50798,1.1895,0.73544,0.97436,0.98072,0.58713,0.95799,0.50707,1.16555,0.000346736,0.000346736,0.000346736
10,394.224,0.85071,0.47963,1.1565,0.7309,0.96938,0.97781,0.64321,0.8827,0.47445,1.11343,0.000181703,0.000181703,0.000181703
